[20:51:45.524] [T1] [DS=False] INFO | Log Started (v1.8.22)
[20:51:45.672] [T1] [DS=False] INFO | Faction cleanup: Removing 46/47 members from Space Pirates
[20:51:45.702] [T1] [DS=False] INFO | Faction cleanup: Removing 10/11 members from [AiE] Nomads
[20:51:55.489] [T1] [DS=False] INFO | CommandMenu Registered Successfully = True
[20:52:29.216] [T1] [DS=False] INFO | Mod setup completed in 0H 0M 22.384S
[21:00:51.199] [T1] [DS=False] WARNING | Found duplicate identity in faction Imber Corporation (discarding identity)
[22:23:32.484] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:34.150] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:35.816] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:37.483] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:39.149] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:40.816] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:42.484] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:44.150] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:23:45.815] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:53:18.358] [T1] [DS=False] INFO | VoxelGridMap (1216).TeleportNearby: BLU moved from [X:-17, Y:-12, Z:-25] to [X:-15, Y:-12, Z:-25]
[23:06:46.362] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:48.027] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:49.693] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:51.362] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:53.027] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:54.693] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:56.372] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:58.030] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:06:59.694] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:09.965] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:11.627] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:13.293] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:14.965] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:16.627] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:18.298] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:16:19.959] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:24:03.077] [T1] [DS=False] WARNING | Something attempted to spawn 'Atmospheric Astronaut' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:24:04.743] [T1] [DS=False] WARNING | Something attempted to spawn 'Atmospheric Astronaut' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:53:39.405] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 1' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:53:42.944] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 1' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:55:23.073] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 1' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:55:24.737] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 5' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:55:28.531] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 5' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:55:30.225] [T1] [DS=False] WARNING | Something attempted to spawn 'Astronaut_Nosuit' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:56:04.661] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 5' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:56:06.426] [T1] [DS=False] WARNING | Something attempted to spawn 'SE_astronautNoSuit' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:56:08.078] [T1] [DS=False] WARNING | Something attempted to spawn 'SE_astronautNoSuitFemale' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:56:09.747] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 4' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:56:11.503] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 5' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:57:26.631] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 6' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:57:28.295] [T1] [DS=False] WARNING | Something attempted to spawn 'SE_astronautNoSuit' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:57:29.971] [T1] [DS=False] WARNING | Something attempted to spawn 'Astronaut_Nosuit' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:58:11.333] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 4' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:58:13.001] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 6' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:58:14.666] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 1' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:59:37.806] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 1' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:59:40.194] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 3' which is not included in the AllowedBotSubtypes. Spawn aborted.
[23:59:41.946] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 3' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:19:04.059] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 3' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:19:05.850] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 4' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:19:14.579] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:19:16.247] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:39:38.959] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:39:41.295] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:39:43.512] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:39:45.722] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:39:47.978] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[00:49:08.971] [T1] [DS=False] INFO | Attempting to pair bot faction with AA Industries
[00:49:08.971] [T1] [DS=False] INFO |  -> Paired AA Industries with [AiE] Bots Incorporated
[01:14:14.347] [T1] [DS=False] INFO | VoxelGridMap (4375).TeleportNearby: Wolf moved from [X:-1, Y:-9, Z:21] to [X:2, Y:-9, Z:21]
[01:18:27.990] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:18:29.772] [T1] [DS=False] WARNING | Something attempted to spawn 'Builder Astronaut' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:18:31.409] [T1] [DS=False] WARNING | Something attempted to spawn 'Builder Astronaut' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:18:33.086] [T1] [DS=False] WARNING | Something attempted to spawn 'Builder Astronaut' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:18:34.744] [T1] [DS=False] WARNING | Something attempted to spawn 'Builder Astronaut' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:22.671] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:24.565] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:26.285] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:28.005] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:29.696] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:31.360] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:33.209] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:33:34.875] [T1] [DS=False] WARNING | Something attempted to spawn 'Next Gen Engineer' which is not included in the AllowedBotSubtypes. Spawn aborted.
[01:40:35.476] [T1] [DS=False] ERROR | Exception in AiEnabled.BotBase.UsePathFinder: System.InvalidOperationException: Queue is empty
   at VRage.Collections.MyQueue`1.Dequeue()
   at AiEnabled.Ai.Support.PathCollection.GetNextVoxelNode(Vector3D current, Vector3D actualTarget, Boolean isTransition, Boolean& findNewPath, Boolean& nextIsAirNode)
   at AiEnabled.Ai.Support.PathCollection.GetNextNode(Vector3D current, Boolean onLadder, Boolean isTransition, Boolean& nextIsLadder, Boolean& afterNextIsLadder, IMyUseObject& ladderUseObj, Boolean& useNow, Boolean& findNewPath, Boolean& nextIsAirNode)
   at AiEnabled.Bots.BotBase.GetNextNodeAndMove(Single& distanceToCheck)
   at AiEnabled.Bots.BotBase.UsePathfinder(Vector3D gotoPosition, Vector3D actualPosition)
[02:09:38.847] [T1] [DS=False] WARNING | VoxelGridMap (5789).TeleportNearby: Unable to find placement for Wolf (pos was [X:15, Y:-15, Z:-15])
[02:13:53.114] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[02:13:54.783] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[02:13:56.449] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[02:13:58.116] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[02:13:59.782] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[02:14:01.449] [T1] [DS=False] WARNING | Something attempted to spawn 'Cyberhound' which is not included in the AllowedBotSubtypes. Spawn aborted.
[02:26:14.859] [T1] [DS=False] INFO | Closing 8 bot(s) before unload
[02:26:15.732] [T1] [DS=False] INFO | Unloading mod data. Registered = True
[02:26:15.776] [T1] [DS=False] INFO | Mod unloaded successfully
